Mother,Daughter,Nvertex,Intermediate,Signatures,Chain,Signatures (Easy-Read),All Possible Signature,Minimal Set,Minimal Set (number of elements),Minimal Set (same flavour)
nu,G,3,B u,jjX,nu -- (X) -- B -- (j) -- u -- (j) -- G, 2j_l + MET,"{'bbX', 'jjX', 'tbl', 'ttX', 'jjl'}","['tbl', 'jjl', 'bbX', 'jjX', 'ttX']","[1, 1, 1, 1, 1]","['tbl', 'jjl', '(JJ)X']"
nu,G,3,B b_L,bbX,nu -- (X) -- B -- (b) -- b_L -- (b) -- G, 2b + MET,"{'bbX', 'jjX', 'tbl', 'ttX', 'jjl'}","['tbl', 'jjl', 'bbX', 'jjX', 'ttX']","[1, 1, 1, 1, 1]","['tbl', 'jjl', '(JJ)X']"
nu,G,3,B t_L,ttX,nu -- (X) -- B -- (t) -- t_L -- (t) -- G, 2t + MET,"{'bbX', 'jjX', 'tbl', 'ttX', 'jjl'}","['tbl', 'jjl', 'bbX', 'jjX', 'ttX']","[1, 1, 1, 1, 1]","['tbl', 'jjl', '(JJ)X']"
nu,G,3,B t,ttX,nu -- (X) -- B -- (t) -- t -- (t) -- G, 2t + MET,"{'bbX', 'jjX', 'tbl', 'ttX', 'jjl'}","['tbl', 'jjl', 'bbX', 'jjX', 'ttX']","[1, 1, 1, 1, 1]","['tbl', 'jjl', '(JJ)X']"
nu,G,3,B b,bbX,nu -- (X) -- B -- (b) -- b -- (b) -- G, 2b + MET,"{'bbX', 'jjX', 'tbl', 'ttX', 'jjl'}","['tbl', 'jjl', 'bbX', 'jjX', 'ttX']","[1, 1, 1, 1, 1]","['tbl', 'jjl', '(JJ)X']"
nu,G,3,W^+ q,jjl,nu -- (l) -- W^+ -- (j) -- q -- (j) -- G, 2j_l + 1l,"{'bbX', 'jjX', 'tbl', 'ttX', 'jjl'}","['tbl', 'jjl', 'bbX', 'jjX', 'ttX']","[1, 1, 1, 1, 1]","['tbl', 'jjl', '(JJ)X']"
nu,G,3,W^+ b_L,tbl,nu -- (l) -- W^+ -- (t) -- b_L -- (b) -- G, 1t + 1b + 1l,"{'bbX', 'jjX', 'tbl', 'ttX', 'jjl'}","['tbl', 'jjl', 'bbX', 'jjX', 'ttX']","[1, 1, 1, 1, 1]","['tbl', 'jjl', '(JJ)X']"
nu,G,3,W^+ t_L,tbl,nu -- (l) -- W^+ -- (b) -- t_L -- (t) -- G, 1t + 1b + 1l,"{'bbX', 'jjX', 'tbl', 'ttX', 'jjl'}","['tbl', 'jjl', 'bbX', 'jjX', 'ttX']","[1, 1, 1, 1, 1]","['tbl', 'jjl', '(JJ)X']"
nu,G,3,W^0 q,jjX,nu -- (X) -- W^0 -- (j) -- q -- (j) -- G, 2j_l + MET,"{'bbX', 'jjX', 'tbl', 'ttX', 'jjl'}","['tbl', 'jjl', 'bbX', 'jjX', 'ttX']","[1, 1, 1, 1, 1]","['tbl', 'jjl', '(JJ)X']"
nu,G,3,W^0 b_L,bbX,nu -- (X) -- W^0 -- (b) -- b_L -- (b) -- G, 2b + MET,"{'bbX', 'jjX', 'tbl', 'ttX', 'jjl'}","['tbl', 'jjl', 'bbX', 'jjX', 'ttX']","[1, 1, 1, 1, 1]","['tbl', 'jjl', '(JJ)X']"
nu,G,3,W^0 t_L,ttX,nu -- (X) -- W^0 -- (t) -- t_L -- (t) -- G, 2t + MET,"{'bbX', 'jjX', 'tbl', 'ttX', 'jjl'}","['tbl', 'jjl', 'bbX', 'jjX', 'ttX']","[1, 1, 1, 1, 1]","['tbl', 'jjl', '(JJ)X']"
nu,H^+,2,B,vX,nu -- (X) -- B -- (v) -- H^+, 1v + MET,"{'vX', 'vl'}","['vX', 'vl']","[1, 1]","['vX', 'vl']"
