Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L Q D_3,nu_tau,b,bjX,"['nu_tau -- (X) -- B -- (b) -- b -- [X,j]']",2, 1j_l + 1b + MET
L Q_3 D,nu_tau,l,tjlX,"['nu_tau -- (X) -- B -- (l) -- l -- [t,j]', 'nu_tau -- (X) -- W^0 -- (l) -- l -- [t,j]']",2, 1j_l + 1t + 1l + MET
L Q_3 D,nu_tau,l,tjTX,"['nu_tau -- (T) -- W^+ -- (X) -- l -- [t,j]']",2, 1j_l + 1t + 1tau + MET
L Q_3 D,nu_tau,t_L,bjTl,"['nu_tau -- (T) -- W^+ -- (b) -- t_L -- [l,j]']",2, 1j_l + 1b + 1l + 1tau
L Q_3 D,nu_tau,t_L,tjlX,"['nu_tau -- (X) -- B -- (t) -- t_L -- [l,j]', 'nu_tau -- (X) -- W^0 -- (t) -- t_L -- [l,j]']",2, 1j_l + 1t + 1l + MET
L Q_3 D,nu_tau,d,tjlX,"['nu_tau -- (X) -- B -- (j) -- d -- [l,t]']",2, 1j_l + 1t + 1l + MET
L Q_3 D,nu_tau,nu,bjTl,"['nu_tau -- (T) -- W^+ -- (l) -- nu -- [b,j]']",2, 1j_l + 1b + 1l + 1tau
L Q_3 D,nu_tau,nu,bjX,"['nu_tau -- (X) -- W^0 -- (X) -- nu -- [b,j]', 'nu_tau -- (X) -- B -- (X) -- nu -- [b,j]']",2, 1j_l + 1b + MET
L Q_3 D,nu_tau,b_L,bjX,"['nu_tau -- (X) -- W^0 -- (b) -- b_L -- [X,j]', 'nu_tau -- (X) -- B -- (b) -- b_L -- [X,j]']",2, 1j_l + 1b + MET
L Q_3 D,nu_tau,b_L,tjTX,"['nu_tau -- (T) -- W^+ -- (t) -- b_L -- [X,j]']",2, 1j_l + 1t + 1tau + MET
L Q_3 D,nu_tau,d,bjX,"['nu_tau -- (X) -- B -- (j) -- d -- [X,b]']",2, 1j_l + 1b + MET
L Q_3 D_3,nu_tau,l,tblX,"['nu_tau -- (X) -- W^0 -- (l) -- l -- [t,b]', 'nu_tau -- (X) -- B -- (l) -- l -- [t,b]']",2, 1t + 1b + 1l + MET
L Q_3 D_3,nu_tau,l,tbTX,"['nu_tau -- (T) -- W^+ -- (X) -- l -- [t,b]']",2, 1t + 1b + 1tau + MET
L Q_3 D_3,nu_tau,t_L,bbTl,"['nu_tau -- (T) -- W^+ -- (b) -- t_L -- [l,b]']",2, 2b + 1l + 1tau
L Q_3 D_3,nu_tau,t_L,tblX,"['nu_tau -- (X) -- B -- (t) -- t_L -- [l,b]', 'nu_tau -- (X) -- W^0 -- (t) -- t_L -- [l,b]']",2, 1t + 1b + 1l + MET
L Q_3 D_3,nu_tau,b,tblX,"['nu_tau -- (X) -- B -- (b) -- b -- [l,t]']",2, 1t + 1b + 1l + MET
L Q_3 D_3,nu_tau,nu,bbTl,"['nu_tau -- (T) -- W^+ -- (l) -- nu -- [b,b]']",2, 2b + 1l + 1tau
L Q_3 D_3,nu_tau,nu,bbX,"['nu_tau -- (X) -- W^0 -- (X) -- nu -- [b,b]', 'nu_tau -- (X) -- B -- (X) -- nu -- [b,b]']",2, 2b + MET
L Q_3 D_3,nu_tau,b_L,bbX,"['nu_tau -- (X) -- W^0 -- (b) -- b_L -- [X,b]', 'nu_tau -- (X) -- B -- (b) -- b_L -- [X,b]']",2, 2b + MET
L Q_3 D_3,nu_tau,b_L,tbTX,"['nu_tau -- (T) -- W^+ -- (t) -- b_L -- [X,b]']",2, 1t + 1b + 1tau + MET
L Q_3 D_3,nu_tau,b,bbX,"['nu_tau -- (X) -- B -- (b) -- b -- [X,b]']",2, 2b + MET
L_3 Q D,nu_tau,q,jjTT,"['nu_tau -- (T) -- W^+ -- (j) -- q -- [T,j]']",2, 2j_l + 2tau
